"id","area","task","description","severity","launch_blocker","owner","evidence_needed","status","target_phase"
"MLC-001","Data integrity","Repair Prisma migration chain","Fix clean-install migration path and prove greenfield setup succeeds.","Critical","Yes","Backend + DevOps","Successful clean migration run log","Open","Before launch"
"MLC-002","Legal","Publish Privacy Policy","Create and surface final privacy notice based on actual storage and processing.","Critical","Yes","Legal/Privacy + Product","Published policy URL and legal approval","Open","Before launch"
"MLC-003","Legal","Publish Terms of Use","Create and surface commercial terms for all user types.","Critical","Yes","Legal + Founder","Published terms URL and approval","Open","Before launch"
"MLC-004","Privacy","Publish Cookie Notice","Document cookies and similar technologies used by MSCQR.","High","Yes","Legal/Privacy + Frontend","Published cookie notice URL","Open","Before launch"
"MLC-005","Privacy","Decide consent-banner posture","Classify storage/telemetry and implement consent if required.","High","Yes","Legal/Privacy + Frontend","Decision memo and implemented UI if required","Open","Before launch"
"MLC-006","Security","Disable verify bearer compatibility","Complete verify-customer auth cutover to preferred production mode.","High","Yes","Backend + QA","Config evidence and regression test results","Open","Before launch"
"MLC-007","Security","Disable legacy admin token response","Close transitional operator auth compatibility path.","High","Yes","Backend","Config evidence and regression tests","Open","Before launch"
"MLC-008","Ops","Confirm backup schedule","Verify AWS backup cadence and retention.","High","Yes","DevOps","Backup policy screenshots or export","Open","Before launch"
"MLC-009","Ops","Run restore drill","Perform and document timed restore drill.","High","Yes","DevOps + DBA","Restore drill artifact with timings","Open","Before launch"
"MLC-010","Ops","Confirm bucket protections","Verify encryption, versioning, lifecycle, and public-access block settings.","High","Yes","DevSecOps","Bucket policy and configuration evidence","Open","Before launch"
"MLC-011","Ops","Confirm alert routing","Verify live alert destinations and on-call ownership.","High","Yes","DevOps + Ops Lead","Alarm screenshots and owner matrix","Open","Before launch"
"MLC-012","Release","Rehearse rollback","Run rollback exercise in staging or pre-prod.","High","Yes","DevOps + QA","Rollback rehearsal notes and smoke results","Open","Before launch"
"MLC-013","Role UAT","Run super admin UAT","Complete scripted super admin journey and signoff.","High","Yes","QA + Product Ops","Signed UAT sheet","Open","Before launch"
"MLC-014","Role UAT","Run licensee admin UAT","Complete scripted licensee admin journey and signoff.","High","Yes","QA + Product Ops","Signed UAT sheet","Open","Before launch"
"MLC-015","Role UAT","Run manufacturer UAT","Complete scripted manufacturer and connector journey and signoff.","High","Yes","QA + Product Ops","Signed UAT sheet","Open","Before launch"
"MLC-016","Role UAT","Run public verification UAT","Complete customer/public verification journey and signoff.","High","Yes","QA + Product Ops","Signed UAT sheet","Open","Before launch"
"MLC-017","Product trust","Add legal/trust footer links","Expose Privacy, Terms, Cookies, Support, and Trust links in UI.","High","Yes","Frontend + Product","Final UI screenshot","Open","Before launch"
"MLC-018","Support","Add support evidence privacy notice","Explain screenshot/log/evidence collection in support flow.","High","Yes","Frontend + Legal + Support Ops","Final UI copy and policy link","Open","Before launch"
"MLC-019","Connector","Finalize connector signing","Sign Windows installer and sign/notarize macOS artifacts as applicable.","High","Yes","DevOps + Connector Owner","Signed artifact evidence and installer test","Open","Before launch"
"MLC-020","Connector","Add connector integrity messaging","Show publisher, checksum, version, and support guidance on download page.","High","Yes","Frontend + DevOps","Updated download page and checksum artifact","Open","Before launch"
"MLC-021","Compliance","Prepare DPA template","Draft B2B data processing addendum for enterprise onboarding.","High","Yes","Legal + Founder","Approved DPA template","Open","Before launch"
"MLC-022","Compliance","Publish retention/deletion policy","Define and expose retention behavior for logs, evidence, and uploads.","High","Yes","Legal/Privacy + Ops","Policy document and operational mapping","Open","Before launch"
"MLC-023","Support","Assign launch-week support owners","Name primary and backup support/escalation owners.","Medium","No","Ops Lead + Founder","Owner matrix","Open","Go-live prep"
"MLC-024","Monitoring","Add synthetic checks","Monitor public verify, operator login, and connector download integrity.","Medium","No","DevOps","Dashboard or monitor screenshots","Open","Go-live prep"
"MLC-025","Logging","Standardize structured logging","Replace stray console logging with structured logger usage.","Medium","No","Backend + Frontend","Code changes and log sample","Open","Production hardening"
"MLC-026","Polish","Replace 404 experience","Use branded recovery page without dev-like console noise.","Medium","No","Frontend","Final UI screenshot","Open","Production hardening"
"MLC-027","Polish","Remove mock data residue","Delete or isolate `src/lib/mock-data.ts` from production bundle paths.","Medium","No","Frontend","Code review evidence","Open","Production hardening"
"MLC-028","Privacy","Run runtime cookie audit","Capture browser/runtime cookies and compare to documented inventory.","Medium","No","QA + Frontend","HAR/devtools evidence","Open","Legal/privacy completion"
"MLC-029","Onboarding","Create onboarding kit","Package templates, data requirements, and contact matrices.","Medium","No","Product Ops + Customer Success","Onboarding pack files","Open","Role UAT and data onboarding"
"MLC-030","Onboarding","Validate QR allocation rules","Confirm numbering, collision prevention, and reserved ranges.","High","Yes","Product Ops + Backend","Approved QR allocation checklist","Open","Role UAT and data onboarding"
"MLC-031","Security","Schedule focused pen test","Book and scope external security review or pen test.","Medium","No","Founder + Security","Signed scope or report","Open","After launch or parallel"
"MLC-032","Ops","Publish operator deployment checklist","Turn workflow/docs into a concise deploy operator sheet.","Medium","No","DevOps","Final checklist doc","Open","Go-live prep"
"MLC-033","Comms","Prepare launch-day communications","Approve launch, incident, and support messaging templates.","Medium","No","Founder + Ops Lead","Approved communication templates","Open","Go-live prep"
"MLC-034","Hypercare","Prepare 7-day hypercare schedule","Assign daily reviews for auth, verify, support, and connector health.","Medium","No","Ops Lead + Engineering","Hypercare rota","Open","Launch day"
