"id","category","issue","why_it_matters","severity","evidence","exact_fix","owner_recommendation","launch_blocker","effort","target_phase","status"
"GA-001","E. Data integrity","Clean-environment Prisma migration chain is broken","A fresh production environment, DR restore rehearsal, or environment recreation can fail before the app is usable.","Critical","`documents/backend/README.md` documents that `backend/prisma/migrations/20260213120000_add_incident_response/migration.sql` alters `QrScanLog` before that table exists in the clean chain.","Repair the migration sequence, create a validated clean-install path, and run a greenfield migration test in CI and pre-prod.","Backend + DevOps","Yes","1-2 days","Before launch","Open"
"GA-002","H. Legal/compliance","No formal Privacy Policy is present in the app/site","MSCQR processes user, customer, support, and device-related data. Without a privacy notice, transparency obligations are not met.","Critical","Repo search found guides with compliance references but no formal policy document or public route/footer link.","Draft lawyer-reviewed Privacy Policy, publish it publicly, and link it from footer, login, verify, and support surfaces.","Legal/Privacy + Product","Yes","2-3 days plus review","Before launch","Open"
"GA-003","H. Legal/compliance","No formal Terms of Service / Terms of Use surfaced","Commercial SaaS launch requires clear contractual use terms, acceptable use boundaries, and liability framing.","Critical","No formal terms document or route found in repo search or public shell.","Draft Terms of Use, align with role-based usage and support expectations, and surface them across public/authenticated shells.","Legal + Founder","Yes","2-3 days plus review","Before launch","Open"
"GA-004","G. Privacy and cookies","No formal Cookie Notice / Cookie Policy surfaced","Cookies and browser storage are actively used for auth, verification continuity, and UI persistence. Users need clear disclosure.","High","Cookie and storage usage found in backend auth services and frontend verification/layout/help flows; no cookie notice route found.","Publish a cookie notice that inventories cookies/storage and links to privacy materials.","Legal/Privacy + Frontend","Yes","1-2 days","Before launch","Open"
"GA-005","G. Privacy and cookies","Consent/banner posture is undefined for deployed runtime","If non-essential cookies or telemetry are active in the final deployment, UK/EU launch may require consent before setting them.","High","No consent banner implementation found; Sentry exists and multiple browser identifiers are set; no runtime banner component found.","Decide essential vs non-essential classification with counsel, then implement consent UI and conditional loading where needed.","Legal/Privacy + Frontend","Yes","1-3 days","Before launch","Open"
"GA-006","C. Role-based workflows","Verify-customer bearer compatibility is still available","Leaving legacy compatibility open weakens auth clarity and prolongs security debt during launch.","High","`backend/src/services/customerVerifyCookieService.ts`, `backend/src/middleware/customerVerifyAuth.ts`, and `scripts/check-customer-auth-cutover.mjs` show compatibility support and skipped enforcement.","Disable legacy bearer compatibility in production after validating no remaining clients depend on it; monitor cutover metrics.","Backend + QA","Yes","0.5-1 day","Before launch","Open"
"GA-007","F. Security","Legacy admin token response compatibility still exists","Mixed response modes make auth behavior harder to reason about and easier to misconfigure.","High","`backend/src/controllers/authController.ts` and env-controlled legacy token response logic.","Turn off legacy token response in production and remove fallback once clients are confirmed compatible.","Backend","Yes","0.5-1 day","Before launch","Open"
"GA-008","I. AWS/infra/ops","Backup strategy is documented but not evidenced","A written runbook is not the same as verified recovery capability.","High","`documents/BACKUP_RESTORE_DR_RUNBOOK.md` exists, but repo cannot prove snapshot schedules, retention, or successful restore drills.","Capture AWS evidence: backup policies, schedules, restore logs, drill dates, and named owners.","DevOps","Yes","1-2 days","Before launch","Open"
"GA-009","K. Backup/restore/disaster readiness","Restore testing proof is missing from the repo","Without restore proof, data protection is an assumption rather than an operational fact.","High","DR runbook exists; no restore test artifact or signed drill evidence located in repo.","Perform and document a timed restore drill in non-prod using recent production-like backups.","DevOps + DBA","Yes","1 day","Before launch","Open"
"GA-010","I. AWS/infra/ops","S3/object storage least-privilege and lifecycle controls are not provable from code alone","Support evidence, uploads, and generated artifacts may be exposed or retained longer than intended.","High","Object storage integration exists and production startup enforces object storage, but IAM policy, lifecycle, versioning, and public access blocks are not evidenced in repo.","Export and review bucket policies, lifecycle, versioning, encryption, and public-access-block settings; document them.","DevSecOps","Yes","1 day","Before launch","Open"
"GA-011","J. Monitoring/logging/incident handling","Monitoring and alert routing are partially documented but not evidenced","On-call readiness depends on actual alert destinations, not only docs and config checks.","High","CloudWatch validation script passes and runbooks exist, but no evidence of active alert targets or escalation ownership is in repo.","Confirm live alarms, destinations, runbooks, and on-call assignments with screenshots or exported config.","DevOps + Ops Lead","Yes","1 day","Before launch","Open"
"GA-012","B. UX/UI polish","Public/legal trust surface is incomplete","Premium SaaS customers expect visible legal, support, and trust links before onboarding or verification.","High","`src/pages/Index.tsx` and `src/pages/TrustCenter.tsx` are polished, but no formal legal footer links or policies were found.","Add persistent footer links for privacy, terms, cookies, support, and trust docs across public/auth shells.","Frontend + Product","Yes","0.5-1 day","Before launch","Open"
"GA-013","O. Professionalism / premium SaaS feel","Connector trust path is incomplete until signing/notarization is confirmed","Unsigned installers create a low-trust experience and can stop manufacturer onboarding cold.","High","Connector download route exists; repo context includes local print connector packaging and signing remains open.","Define and implement signed release pipeline for Windows and macOS connector artifacts, including checksum publication.","DevOps + Desktop/Connector Owner","Yes","1-3 days","Before launch","Open"
